job_title_salary_rank,company_size,experience_level_encoded,employment_type_encoded,work_year,salary_in_usd,job_title,company_location,experience_level,employment_type,remote_ratio
3,2,3,1,2024,123300,Software Engineer,US,SE,FT,0
8,2,2,1,2024,102147,Developer,CA,MI,FT,0
8,2,2,1,2024,79874,Developer,CA,MI,FT,0
8,2,3,1,2024,236220,AI Lead,US,SE,FT,0
8,2,3,1,2024,157488,AI Lead,US,SE,FT,0
4,2,2,1,2024,61267,Manager,US,MI,FT,0
10,2,1,1,2024,34666,Product Analyst,SK,EN,FT,0
10,2,1,1,2024,21333,Product Analyst,SK,EN,FT,0
3,2,3,1,2024,223500,Software Engineer,US,SE,FT,0
3,2,3,1,2024,94200,Software Engineer,US,SE,FT,0
5,2,3,1,2024,175392,Research Engineer,US,SE,FT,0
5,2,3,1,2024,122774,Research Engineer,US,SE,FT,0
8,2,1,2,2024,66000,Consultant,US,EN,PT,0
8,2,1,2,2024,36000,Consultant,US,EN,PT,0
8,2,2,1,2024,178200,Developer,US,MI,FT,0
8,2,2,1,2024,81500,Developer,US,MI,FT,0
5,2,1,1,2024,113500,Research Scientist,US,EN,FT,0
5,2,2,1,2024,77477,Research Assistant,AU,MI,FT,0
5,2,2,1,2024,73073,Research Assistant,AU,MI,FT,0
8,2,2,1,2024,187300,Developer,US,MI,FT,0
8,2,2,1,2024,100900,Developer,US,MI,FT,0
6,2,3,1,2024,153600,Data Scientist,US,SE,FT,0
7,3,3,1,2024,187000,Data Engineer,US,SE,FT,0
7,3,3,1,2024,124000,Data Engineer,US,SE,FT,0
7,2,2,1,2024,78000,Data Engineer,US,MI,FT,0
7,2,3,1,2024,166400,Data Engineer,US,SE,FT,0
2,2,3,1,2024,242900,Data Architect,US,SE,FT,0
2,2,3,1,2024,145700,Data Architect,US,SE,FT,0
8,2,3,1,2024,98500,Data Reporting Analyst,US,SE,FT,0
8,2,3,1,2024,71500,Data Reporting Analyst,US,SE,FT,0
8,2,1,1,2024,172000,Data Integration Analyst,US,EN,FT,0
8,2,1,1,2024,75600,Data Integration Analyst,US,EN,FT,0
9,2,3,1,2024,138000,Business Intelligence Developer,US,SE,FT,0
9,2,3,1,2024,120000,Business Intelligence Developer,US,SE,FT,0
8,2,2,1,2024,95000,Data Specialist,US,MI,FT,0
6,2,2,1,2024,154960,Data Scientist,US,MI,FT,0
6,2,2,1,2024,86320,Data Scientist,US,MI,FT,0
10,2,1,1,2024,139360,Data Analyst,US,EN,FT,0
10,2,1,1,2024,81453,Data Analyst,US,EN,FT,0
10,2,1,1,2024,126170,Data Analyst,US,EN,FT,0
10,2,1,1,2024,97495,Data Analyst,US,EN,FT,0
4,2,2,1,2024,111425,Data Manager,US,MI,FT,0
4,2,2,1,2024,66851,Data Manager,US,MI,FT,0
4,2,3,1,2024,115000,Data Manager,US,SE,FT,0
4,2,3,1,2024,90000,Data Manager,US,SE,FT,0
5,2,2,1,2024,247800,Associate,US,MI,FT,0
5,2,2,1,2024,151800,Associate,US,MI,FT,0
4,2,3,1,2024,246000,Manager,US,SE,FT,100
4,2,3,1,2024,118000,Manager,US,SE,FT,100
3,2,3,1,2024,160000,Software Developer,US,SE,FT,0
3,2,3,1,2024,140000,Software Developer,US,SE,FT,0
3,2,3,1,2024,310919,Software Engineer,US,SE,FT,0
3,2,3,1,2024,207279,Software Engineer,US,SE,FT,0
5,2,2,1,2024,167981,Research Engineer,US,MI,FT,0
5,2,2,1,2024,137439,Research Engineer,US,MI,FT,0
8,2,3,1,2024,107760,Analytics Specialist,US,SE,FT,0
8,2,3,1,2024,64160,Analytics Specialist,US,SE,FT,0
4,2,2,1,2024,175200,Manager,US,MI,FT,0
4,2,2,1,2024,97300,Manager,US,MI,FT,0
10,2,3,1,2024,142826,Analyst,US,SE,FT,100
10,2,3,1,2024,79348,Analyst,US,SE,FT,100
8,2,3,1,2024,125000,Python Developer,US,SE,FT,0
8,2,3,1,2024,115000,Python Developer,US,SE,FT,0
8,2,2,1,2024,115000,Developer,CA,MI,FT,0
8,2,3,1,2024,217311,Technical Lead,US,SE,FT,0
8,2,3,1,2024,144501,Technical Lead,US,SE,FT,0
4,2,2,1,2024,172500,Manager,CA,MI,FT,0
4,2,2,1,2024,101500,Manager,CA,MI,FT,0
7,2,2,1,2024,112320,Data Engineer,US,MI,FT,0
7,2,2,1,2024,68640,Data Engineer,US,MI,FT,0
7,2,2,1,2024,121100,Data Engineer,US,MI,FT,0
7,2,2,1,2024,71500,Data Engineer,US,MI,FT,0
10,2,3,1,2024,145300,Data Analyst,US,SE,FT,0
10,2,3,1,2024,72700,Data Analyst,US,SE,FT,0
6,2,1,1,2024,98153,Data Scientist,US,EN,FT,100
6,2,1,1,2024,57737,Data Scientist,US,EN,FT,100
1,2,3,1,2024,105000,Machine Learning Engineer,US,SE,FT,0
10,2,1,1,2024,140000,Data Management Analyst,US,EN,FT,0
10,2,1,1,2024,125000,Data Management Analyst,US,EN,FT,0
4,2,3,1,2024,157450,Data Manager,US,SE,FT,0
4,2,3,1,2024,87100,Data Manager,US,SE,FT,0
8,2,3,1,2024,183300,Developer,US,SE,FT,100
8,2,3,1,2024,101400,Developer,US,SE,FT,100
10,2,3,1,2024,146423,Analyst,US,SE,FT,100
10,2,3,1,2024,120973,Analyst,US,SE,FT,100
7,2,3,1,2024,189750,Engineer,US,SE,FT,0
2,2,3,1,2024,180000,Software Architect,US,SE,FT,0
10,2,1,1,2024,192100,Analyst,US,EN,FT,100
10,2,1,1,2024,52000,Analyst,US,EN,FT,100
3,2,3,1,2024,190000,Software Engineer,CA,SE,FT,0
3,2,3,1,2024,89423,Software Engineer,CA,SE,FT,0
3,2,3,1,2024,201250,Software Developer,US,SE,FT,0
3,2,3,1,2024,154960,Software Developer,US,SE,FT,0
8,2,3,1,2024,176300,Consultant,US,SE,FT,0
8,2,3,1,2024,97600,Consultant,US,SE,FT,0
7,2,3,1,2024,141000,Engineer,US,SE,FT,0
8,2,2,1,2024,143750,Analytics Engineer,US,MI,FT,0
8,2,2,1,2024,93750,Analytics Engineer,US,MI,FT,0
6,2,3,1,2024,22300,Data Scientist,US,SE,FT,0
8,2,3,1,2024,145537,Data Analytics Developer,US,SE,FT,100
8,2,3,1,2024,119076,Data Analytics Developer,US,SE,FT,100
1,2,2,1,2024,333000,Machine Learning Engineer,US,MI,FT,0
1,2,2,1,2024,189000,Machine Learning Engineer,US,MI,FT,0
8,2,3,1,2024,219100,Applied Scientist,US,SE,FT,0
8,2,3,1,2024,118500,Applied Scientist,US,SE,FT,0
4,2,3,1,2024,228700,Product Manager,US,SE,FT,0
4,2,3,1,2024,121800,Product Manager,US,SE,FT,0
8,2,3,1,2024,265200,AI Scientist,US,SE,FT,0
8,2,3,1,2024,192900,AI Scientist,US,SE,FT,0
3,2,3,1,2024,178000,Software Engineer,US,SE,FT,100
3,2,3,1,2024,134000,Software Engineer,US,SE,FT,100
5,2,1,1,2024,75600,Research Analyst,US,EN,FT,0
5,2,1,1,2024,43888,Research Analyst,US,EN,FT,0
8,2,3,1,2024,142896,DevOps Engineer,US,SE,FT,0
8,2,3,1,2024,99208,DevOps Engineer,US,SE,FT,0
10,2,2,1,2024,90510,Analyst,US,MI,FT,0
10,2,2,1,2024,55530,Analyst,US,MI,FT,0
3,2,3,1,2024,234200,Software Development Engineer,US,SE,FT,0
3,2,3,1,2024,124000,Software Development Engineer,US,SE,FT,0
4,3,3,1,2024,307900,Product Manager,US,SE,FT,0
4,3,3,1,2024,178100,Product Manager,US,SE,FT,0
7,2,3,1,2024,289400,Data Engineer,US,SE,FT,0
7,2,3,1,2024,206700,Data Engineer,US,SE,FT,0
7,2,4,1,2024,179200,Data Engineer,US,EX,FT,0
1,2,3,1,2024,290500,Machine Learning Engineer,US,SE,FT,0
7,2,4,1,2024,203800,Engineer,US,EX,FT,0
10,2,2,1,2024,89000,Analyst,CA,MI,FT,100
10,2,2,1,2024,80000,Analyst,CA,MI,FT,100
3,2,3,1,2024,124700,Software Engineer,US,SE,FT,0
6,2,2,1,2024,170100,Data Scientist,US,MI,FT,0
6,2,2,1,2024,196500,Data Scientist,US,MI,FT,0
6,2,2,1,2024,97300,Data Scientist,US,MI,FT,0
6,2,3,1,2024,110000,Data Scientist,US,SE,FT,100
6,2,2,1,2024,88000,Data Scientist,US,MI,FT,0
6,2,2,1,2024,145000,Data Scientist,US,MI,FT,100
6,2,2,1,2024,119000,Data Scientist,US,MI,FT,100
4,2,2,1,2024,119808,Manager,CA,MI,FT,0
4,2,2,1,2024,62400,Manager,CA,MI,FT,0
8,2,2,1,2024,155400,Power BI Developer,US,MI,FT,100
8,2,2,1,2024,103600,Power BI Developer,US,MI,FT,100
7,2,1,1,2024,158688,Engineer,US,EN,FT,0
7,2,1,1,2024,74652,Engineer,US,EN,FT,0
8,2,4,1,2024,180000,Analytics Engineer,US,EX,FT,0
8,2,4,1,2024,150000,Analytics Engineer,US,EX,FT,0
7,2,3,1,2024,152152,Engineer,US,SE,FT,0
7,2,3,1,2024,92144,Engineer,US,SE,FT,0
5,2,2,1,2024,264220,Associate,US,MI,FT,0
10,2,1,1,2024,140000,Data Analyst,CA,EN,FT,100
10,2,2,1,2024,126500,Data Analyst,US,MI,FT,0
10,2,2,1,2024,86500,Data Analyst,US,MI,FT,0
10,2,1,2,2024,179000,Data Analyst,US,EN,PT,100
10,2,1,2,2024,112000,Data Analyst,US,EN,PT,100
8,2,3,1,2024,180000,Systems Engineer,US,SE,FT,100
8,2,3,1,2024,122400,Systems Engineer,US,SE,FT,100
7,2,3,1,2024,105000,Data Engineer,US,SE,FT,0
